517358, 517360
443720, 423094
18394, 18398
597133, 709102
300349, 300353
886890, 886890
43827, 727105
54685, 13166
796451, 796474
672056, 672074
393960, 393956
510690, 510692
334420, 334418
887212, 36577
489316, 486958
47713, 87616
523307, 12745
76691, 76691
383674, 383686
218317, 218323
527221, 55731
587335, 587333
744407, 853399
830688, 830684
409359, 409357
404806, 404859
474533, 474537
732280, 732391
379122, 360012
310745, 310745
486995, 490587
333156, 333158
173445, 173445
71848, 71854
820158, 820213
695576, 681785
347809, 347809
102533, 102531
515164, 515160
125177, 125173
53203, 53223
315695, 282632
411641, 411645
379407, 366666
658501, 658505
251792, 251788
151068, 151062
651880, 638971
133998, 133998
481078, 481074
496704, 492265
740693, 740695
744270, 744260
735105, 735099
76647, 76647
553651, 553649
547090, 735854
599980, 599996
451139, 451139
237223, 312780
545456, 820261
613936, 613936
107763, 107761
284426, 284430
81110, 81106
536175, 535921
896638, 668048
358730, 358880
695250, 695270
621446, 621453
931494, 531241
804535, 804451
465742, 465742
507924, 507924
380078, 380078
164662, 164660
779689, 779494
450297, 450299
681190, 680864
507944, 452497
433488, 433488
33653, 763559
118927, 135924
798205, 798205
424054, 434780
229750, 229754
625608, 751796
613125, 613139
799149, 799055
339931, 339929
669115, 669107
768535, 768724
11855, 11851
682623, 682621
422431, 422429
675750, 675590
872181, 872183
